iter	Logloss
0	0.6420501709
1	0.5845683575
2	0.5388376713
3	0.512334156
4	0.4775967598
5	0.4495183945
6	0.4226108551
7	0.3970975161
8	0.3709788799
9	0.3513719559
10	0.3179521322
11	0.301066494
12	0.2883771181
13	0.2721831322
14	0.2609771729
15	0.2462721348
16	0.2340344667
17	0.2249727726
18	0.2112245083
19	0.201405549
20	0.1934910178
21	0.1777620792
22	0.1704481363
23	0.1617143154
24	0.1548715234
25	0.1492115617
26	0.1448840141
27	0.1357997417
28	0.1302695751
29	0.1208517909
30	0.117581749
31	0.1100442648
32	0.1018690825
33	0.09822317362
34	0.09457086921
35	0.08978590369
36	0.08746451735
37	0.08516343236
38	0.07760667205
39	0.07521268725
40	0.07098972201
41	0.06954184771
42	0.06488569379
43	0.06321327686
44	0.0616093874
45	0.05904090405
46	0.05790966749
47	0.05633084774
48	0.05455037951
49	0.05161781311
50	0.04907585382
51	0.04562659264
52	0.0447938025
53	0.04418799579
54	0.04225974679
55	0.04099188745
56	0.04044122696
57	0.03934266567
58	0.03686998487
59	0.03628665805
60	0.03573883176
61	0.03505054712
62	0.03460808396
63	0.03397403955
64	0.03360626101
65	0.03280163407
66	0.03245937228
67	0.0320001483
68	0.030904603
69	0.03054631948
70	0.03005468249
71	0.02970330417
72	0.02921806872
73	0.02880300283
74	0.02760835886
75	0.02719577849
76	0.02691058815
77	0.02628766298
78	0.0260089308
79	0.02571742535
80	0.02540937364
81	0.02507856488
82	0.02489262372
83	0.02463933527
84	0.02447048277
85	0.02419606596
86	0.02383719683
87	0.02352904081
88	0.0232783705
89	0.02305556685
90	0.02231907845
91	0.02212709785
92	0.02190277576
93	0.02124524862
94	0.02088523209
95	0.02070302069
96	0.02025842369
97	0.019896245
98	0.01938637346
99	0.0192689836
100	0.01910424829
101	0.01889903843
102	0.01849380881
103	0.01829299927
104	0.01816070676
105	0.01801235676
106	0.01786756665
107	0.01713713557
108	0.01701284796
109	0.01682580709
110	0.01647809297
111	0.01637610644
112	0.01601717174
113	0.01581723094
114	0.01574164778
115	0.01554428935
116	0.01526708007
117	0.01517851949
118	0.01494605392
119	0.0144054383
120	0.01420837641
121	0.01406717598
122	0.0138283819
123	0.01374235451
124	0.01354604363
125	0.01343193352
126	0.01323558688
127	0.01314315349
128	0.01308794618
129	0.01304688454
130	0.01286913306
131	0.01268095374
132	0.01259095073
133	0.01232357472
134	0.01212910861
135	0.01200523674
136	0.01185834706
137	0.01170828342
138	0.01156466752
139	0.01151248515
140	0.01132684201
141	0.01111757904
142	0.0109711498
143	0.01089617461
144	0.01076280624
145	0.01071502268
146	0.0105779618
147	0.01027058959
148	0.01020072848
149	0.01014350653
150	0.01000622511
151	0.009972430021
152	0.009851310402
153	0.009752242267
154	0.009689722955
155	0.00954490155
156	0.009437683225
157	0.009331188351
158	0.009248630702
159	0.009161952883
160	0.00906264931
161	0.00896243602
162	0.008865903318
163	0.008765208721
164	0.008677193522
165	0.008586552739
166	0.008540670574
167	0.00845374316
168	0.00840973407
169	0.008277182281
170	0.008195237815
171	0.008114019781
172	0.008034352958
173	0.007964749634
174	0.007887756824
175	0.0078119874
176	0.007695963979
177	0.007624743879
178	0.007553490996
179	0.007483810931
180	0.00741622895
181	0.00734918341
182	0.007283812761
183	0.007219424099
184	0.007156684995
185	0.00709451586
186	0.007033538073
187	0.006979674101
188	0.006920538098
189	0.006861703843
190	0.006831026077
191	0.006773759425
192	0.006716501713
193	0.006661235541
194	0.00660725981
195	0.006553974003
196	0.006501508504
197	0.006449689716
198	0.006399010122
199	0.006349022686
